"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv1623c","Mb1649c","intermediate metabolism and respiration","485 aa overlap","cydA",,," 485 aa",," 485 aa ","probable integral membrane cytochrome d ubiquinol oxidase subunit i cyda cytochrome bd-i oxidase subunit i"
"Rv1625c","Mb1651c","intermediate metabolism and respiration","418 aa overlap","cya",,," 418 aa",," 418 aa ","membrane-anchored adenylyl cyclase cya atp pyrophosphate-lyase adenylate cyclase"
"Rv1626","Mb1652","regulatory proteins","205 aa overlap",,,," 205 aa",," 205 aa ","probable two-component system transcriptional regulator"
"Rv1627c","Mb1653c","lipid metabolism","402 aa overlap",,,," 402 aa",," 402 aa ","probable nonspecific lipid-transfer protein"
"Rv1628c","Mb1654c","conserved hypothetical protein","163 aa overlap",,,," 163 aa",," 163 aa ","conserved protein"
"Rv1629","Mb1655","information pathways","904 aa overlap","polA",,," 904 aa",," 904 aa ","probable dna polymerase i pola"
"Rv1631","Mb1657","intermediate metabolism and respiration","407 aa overlap","coaE",,," 407 aa",," 407 aa ","probable dephospho-coa kinase coae dephosphocoenzyme a kinase"
"Rv1632c","Mb1658c","conserved hypothetical protein","147 aa overlap",,,," 147 aa",," 147 aa ","hypothetical protein"
"Rv1633","Mb1659","information pathways","698 aa overlap","uvrB",,," 698 aa",," 698 aa ","probable excinuclease abc subunit b-helicase uvrb"
"Rv1635c","Mb1661c","cell wall and cell processes","556 aa overlap",,,," 556 aa",," 556 aa ","probable mannosyltransferase. probable conserved transmembrane protein."
"Rv1636","Mb1662","virulence, detoxification,adaptation","146 aa overlap","TB15.3",,," 146 aa",," 146 aa ","iron-regulated universal stress protein family protein tb15.3"
"Rv1637c","Mb1663c","conserved hypothetical protein","264 aa overlap",,,," 264 aa",," 264 aa ","conserved protein"
"Rv1638","Mb1664","information pathways","972 aa overlap","uvrA",,," 972 aa",," 972 aa ","probable excinuclease abc subunit a-dna-binding atpase uvra"
"Rv1638A","Mb1665c","conserved hypothetical protein","85 aa overlap",,,," 85 aa",," 85 aa ","conserved hypothetical protein"
"Rv1639c","Mb1666c","cell wall and cell processes","489 aa overlap",,,," 489 aa",," 489 aa ","conserved hypothetical membrane protein"
"Rv1641","Mb1668","information pathways","201 aa overlap","infC",,," 201 aa",," 201 aa ","probable initiation factor if-3 infc"
"Rv1642","Mb1669","information pathways","64 aa overlap","rpmI",,," 64 aa",," 64 aa ","50s ribosomal protein l35 rpmi"
"Rv1643","Mb1670","information pathways","129 aa overlap","rplT",,," 129 aa",," 129 aa ","50s ribosomal protein l20 rplt"
"Rv1645c","Mb1672c","conserved hypothetical protein","351 aa overlap",,,," 351 aa",," 351 aa ","conserved hypothetical protein"
"Rv1646","Mb1673","PE/PPE","310 aa overlap","PE17",,," 310 aa",," 310 aa ","pe family protein pe17"
"Rv1648","Mb1675","cell wall and cell processes","268 aa overlap",,,," 268 aa",," 268 aa ","probable transmembrane protein"
"Rv1652","Mb1680","intermediate metabolism and respiration","352 aa overlap","argC",,," 352 aa",," 352 aa ","probable n-acetyl-gamma-glutamyl-phoshate reductase argc"
"Rv1653","Mb1681","intermediate metabolism and respiration","404 aa overlap","argJ",,," 404 aa",," 404 aa ","probable glutamate n-acetyltransferase argj"
"Rv1654","Mb1682","intermediate metabolism and respiration","294 aa overlap","argB",,," 294 aa",," 294 aa ","probable acetylglutamate kinase argb"
"Rv1655","Mb1683","intermediate metabolism and respiration","400 aa overlap","argD",,," 400 aa",," 400 aa ","probable acetylornithine aminotransferase argd"
"Rv1656","Mb1684","intermediate metabolism and respiration","307 aa overlap","argF",,," 307 aa",," 307 aa ","probable ornithine carbamoyltransferasec anabolic argf"
"Rv1657","Mb1685","regulatory proteins","170 aa overlap","argR",,," 170 aa",," 170 aa ","probable arginine repressor argr ahrc"
"Rv1658","Mb1686","intermediate metabolism and respiration","398 aa overlap","argG",,," 398 aa",," 398 aa ","probable argininosuccinate synthase argg"
"Rv1659","Mb1687","intermediate metabolism and respiration","470 aa overlap","argH",,," 470 aa",," 470 aa ","probable argininosuccinate lyase argh"
"Rv1660","Mb1688","lipid metabolism","353 aa overlap","pks10",,," 353 aa",," 353 aa ","chalcone synthase pks10"
"Rv1663","Mb1691","lipid metabolism","502 aa overlap","pks17",,," 502 aa",," 502 aa ","probable polyketide synthase pks17"
"Rv1665","Mb1693","lipid metabolism","353 aa overlap","pks11",,," 353 aa",," 353 aa ","chalcone synthase pks11"
"Rv1666c","Mb1694c","intermediate metabolism and respiration","430 aa overlap","cyp139",,," 430 aa",," 430 aa ","probable cytochrome p450 139 cyp139"
"Rv1669","Mb1696","conserved hypothetical protein","120 aa overlap",,,," 120 aa",," 120 aa ","hypothetical protein"
"Rv1670","Mb1697","conserved hypothetical protein","115 aa overlap",,,," 115 aa",," 115 aa ","conserved hypothetical protein"
"Rv1671","Mb1698","cell wall and cell processes","130 aa overlap",,,," 130 aa",," 130 aa ","probable membrane protein"
"Rv1672c","Mb1699c","cell wall and cell processes","443 aa overlap",,,," 443 aa",," 443 aa ","probable conserved integral membrane transport protein"
"Rv1673c","Mb1700c","conserved hypothetical protein","310 aa overlap",,,," 310 aa",," 310 aa ","conserved hypothetical protein"
"Rv1674c","Mb1701c","regulatory proteins","218 aa overlap",,,," 218 aa",," 218 aa ","probable transcriptional regulatory protein"
"Rv1676","Mb1703","conserved hypothetical protein","234 aa overlap",,,," 234 aa",," 234 aa ","unknown protein"
"Rv1677","Mb1704","cell wall and cell processes","182 aa overlap","dsbF",,," 182 aa",," 182 aa ","probable conserved lipoprotein dsbf"
"Rv1678","Mb1705","cell wall and cell processes","300 aa overlap",,,," 300 aa",," 300 aa ","probable integral membrane protein"
"Rv1679","Mb1706","lipid metabolism","373 aa overlap","fadE16",,," 373 aa",," 373 aa ","possible acyl-coa dehydrogenase fade16"
"Rv1681","Mb1708","intermediate metabolism and respiration","330 aa overlap","moeX",,," 330 aa",," 330 aa ","possible molybdopterin biosynthesis protein moex"
"Rv1682","Mb1709","conserved hypothetical protein","305 aa overlap",,,," 305 aa",," 305 aa ","probable coiled-coil structural protein"
"Rv1683","Mb1710","lipid metabolism","999 aa overlap",,,," 999 aa",," 999 aa ","possible bifunctional enzymeb long-chain acyl-coa synthase and lipase."
"Rv1684","Mb1710A","conserved hypothetical protein","74 aa overlap",,,," 74 aa",," 74 aa ","conserved hypothetical protein"
"Rv1685c","Mb1711c","conserved hypothetical protein","207 aa overlap",,,," 207 aa",," 207 aa ","conserved hypothetical protein"
"Rv1687c","Mb1713c","cell wall and cell processes","255 aa overlap",,,," 255 aa",," 255 aa ","probable conserved atp-binding protein abc transporter"
"Rv1688","Mb1714","information pathways","203 aa overlap","mpg",,," 203 aa",," 203 aa ","possible 3-methyladenine dna glycosylase mpg"
"Rv1689","Mb1715","information pathways","424 aa overlap","tyrS",,," 424 aa",," 424 aa ","probable tyrosyl-trna synthase tyrs tyrrs"
"Rv1691","Mb1717","conserved hypothetical protein","250 aa overlap",,,," 250 aa",," 250 aa ","conserved hypothetical protein"
"Rv1692","Mb1718","intermediate metabolism and respiration","353 aa overlap",,,," 353 aa",," 353 aa ","probable phosphatase"
"Rv1693","Mb1719","conserved hypothetical protein","58 aa overlap",,,," 58 aa",," 58 aa ","conserved hypothetical protein"
"Rv1694","Mb1720","virulence, detoxification,adaptation","268 aa overlap","tlyA",,," 268 aa",," 268 aa ","2'-o-methyltransferase tlya"
"Rv1695","Mb1721","intermediate metabolism and respiration","307 aa overlap","ppnK",,," 307 aa",," 307 aa ","inorganic polyphosphate/atp-nad kinase ppnk polyp/atp nad kinase"
"Rv1696","Mb1722","information pathways","587 aa overlap","recN",,," 587 aa",," 587 aa ","probable dna repair protein recn recombination protein n"
"Rv1697","Mb1723","conserved hypothetical protein","393 aa overlap",,,," 393 aa",," 393 aa ","conserved hypothetical protein"
"Rv1698","Mb1724","cell wall and cell processes","314 aa overlap","mctb",,," 314 aa",," 314 aa ","outer membrane protein mctb"
"Rv1699","Mb1725","intermediate metabolism and respiration","586 aa overlap","pyrG",,," 586 aa",," 586 aa ","probable ctp synthase pyrg"
"Rv1701","Mb1727","insertion seqs and phages","311 aa overlap",,,," 311 aa",," 311 aa ","probable integrase/recombinase"
"Rv1702c","Mb1728c","insertion seqs and phages","454 aa overlap",,,," 454 aa",," 454 aa ","conserved hypothetical protein"
"Rv1703c","Mb1729c","intermediate metabolism and respiration","196 aa overlap",,,," 196 aa",," 196 aa ","probable catechol-o-methyltransferase"
"Rv1706c","Mb1732c","PE/PPE","394 aa overlap","PPE23",,," 394 aa",," 394 aa ","ppe family protein ppe23"
"Rv1706A","Mb1733c","conserved hypothetical protein","55 aa overlap",,,," 55 aa",," 55 aa ","conserved hypothetical protein"
"Rv1709","Mb1736","cell wall and cell processes","278 aa overlap","scpa",,," 278 aa",," 278 aa ","possible segregation and condensation protein scpa"
"Rv1710","Mb1737","cell wall and cell processes","231 aa overlap","scpb",,," 231 aa",," 231 aa ","possible segregation and condensation protein scpb"
"Rv1711","Mb1738","conserved hypothetical protein","254 aa overlap",,,," 254 aa",," 254 aa ","conserved hypothetical protein"
"Rv1712","Mb1739","intermediate metabolism and respiration","230 aa overlap","cmk",,," 230 aa",," 230 aa ","cytidylate kinase cmk cmp kinase cytidine monophosphate kinase ck"
"Rv1713","Mb1740","intermediate metabolism and respiration","463 aa overlap","engA",,," 463 aa",," 463 aa ","probable gtp-binding protein enga"
"Rv1714","Mb1741","intermediate metabolism and respiration","270 aa overlap",,,," 270 aa",," 270 aa ","probable oxidoreductase"
"Rv1717","Mb1745","conserved hypothetical protein","116 aa overlap",,,," 116 aa",," 116 aa ","conserved hypothetical protein"
"Rv1719","Mb1748","regulatory proteins","259 aa overlap",,,," 259 aa",," 259 aa ","probable transcriptional regulatory protein"
"Rv1720c","Mb1749c","virulence, detoxification,adaptation","129 aa overlap","vapc12",,," 129 aa",," 129 aa ","possible toxin vapc12"
"Rv1721c","Mb1750c","virulence, detoxification,adaptation","75 aa overlap","vapb12",,," 75 aa",," 75 aa ","possible antitoxin vapb12"
"Rv1723","Mb1752","intermediate metabolism and respiration","415 aa overlap",,,," 415 aa",," 415 aa ","probable hydrolase"
"Rv1724c","Mb1753c","conserved hypothetical protein","139 aa overlap",,,," 139 aa",," 139 aa ","hypothetical protein"
"Rv1725c","Mb1754c","conserved hypothetical protein","236 aa overlap",,,," 236 aa",," 236 aa ","conserved hypothetical protein"
"Rv1727","Mb1756","conserved hypothetical protein","189 aa overlap",,,," 189 aa",," 189 aa ","conserved hypothetical protein"
"Rv1728c","Mb1757c","conserved hypothetical protein","256 aa overlap",,,," 256 aa",," 256 aa ","conserved hypothetical protein"
"Rv1729c","Mb1758c","lipid metabolism","312 aa overlap",,,," 312 aa",," 312 aa ","possible s-adenosylmethionine-dependent methyltransferase"
"Rv1730c","Mb1759c","cell wall and cell processes","517 aa overlap",,,," 517 aa",," 517 aa ","possible penicillin-binding protein"
"Rv1731","Mb1760","intermediate metabolism and respiration","518 aa overlap","gabD2",,," 518 aa",," 518 aa ","possible succinate-semialdehyde dehydrogenase [nadpb] dependent ssdh gabd2"
"Rv1732c","Mb1761c","conserved hypothetical protein","182 aa overlap",,,," 182 aa",," 182 aa ","conserved protein"
"Rv1735c","Mb1764c","cell wall and cell processes","165 aa overlap",,,," 165 aa",," 165 aa ","hypothetical membrane protein"
"Rv1737c","Mb1766c","cell wall and cell processes","395 aa overlap","narK2",,," 395 aa",," 395 aa ","possible nitrate/nitrite transporter nark2"
"Rv1738","Mb1767","conserved hypothetical protein","94 aa overlap",,,," 94 aa",," 94 aa ","conserved protein"
"Rv1740","Mb1769","virulence, detoxification,adaptation","70 aa overlap","vapb34",,," 70 aa",," 70 aa ","possible antitoxin vapb34"
"Rv1747","Mb1776","cell wall and cell processes","865 aa overlap",,,," 865 aa",," 865 aa ","probable conserved transmembrane atp-binding protein abc transporter"
"Rv1748","Mb1777","conserved hypothetical protein","243 aa overlap",,,," 243 aa",," 243 aa ","unknown protein"
"Rv1749c","Mb1778c","cell wall and cell processes","185 aa overlap",,,," 185 aa",," 185 aa ","possible integral membrane protein"
"Rv1750c","Mb1779c","lipid metabolism","532 aa overlap","fadD1",,," 532 aa",," 532 aa ","possible fatty-acid-coa ligase fadd1 fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv1752","Mb1781","conserved hypothetical protein","149 aa overlap",,,," 149 aa",," 149 aa ","conserved hypothetical protein"
"Rv1754c","Mb1783c","conserved hypothetical protein","563 aa overlap",,,," 563 aa",," 563 aa ","conserved protein"
"Rv1761c","Mb1792c","cell wall and cell processes","127 aa overlap",,,," 127 aa",," 127 aa ","possible exported protein"
"Rv1762c","Mb1793c","conserved hypothetical protein","262 aa overlap",,,," 262 aa",," 262 aa ","unknown protein"
"Rv1766","Mb1795A","conserved hypothetical protein","89 aa overlap",,,," 89 aa",," 89 aa ","conserved protein"
"Rv1767","Mb1796","conserved hypothetical protein","119 aa overlap",,,," 119 aa",," 119 aa ","conserved protein"
"Rv1769","Mb1798","conserved hypothetical protein","414 aa overlap",,,," 414 aa",," 414 aa ","conserved protein"
"Rv1770","Mb1799","conserved hypothetical protein","428 aa overlap",,,," 428 aa",," 428 aa ","conserved protein"
"Rv1771","Mb1800","intermediate metabolism and respiration","428 aa overlap",,,," 428 aa",," 428 aa ","l-gulono-1c4-lactone dehydrogenase"
"Rv1772","Mb1801","conserved hypothetical protein","103 aa overlap",,,," 103 aa",," 103 aa ","hypothetical protein"
"Rv1773c","Mb1802c","regulatory proteins","248 aa overlap",,,," 248 aa",," 248 aa ","probable transcriptional regulatory protein"
"Rv1774","Mb1803","intermediate metabolism and respiration","446 aa overlap",,,," 446 aa",," 446 aa ","probable oxidoreductase"
"Rv1775","Mb1804","conserved hypothetical protein","272 aa overlap",,,," 272 aa",," 272 aa ","conserved hypothetical protein"
"Rv1776c","Mb1805c","regulatory proteins","186 aa overlap",,,," 186 aa",," 186 aa ","possible transcriptional regulatory protein"
"Rv1779c","Mb1808c","cell wall and cell processes","597 aa overlap",,,," 597 aa",," 597 aa ","possible integral membrane protein"
"Rv1780","Mb1809","conserved hypothetical protein","187 aa overlap",,,," 187 aa",," 187 aa ","conserved protein"
"Rv1781c","Mb1810c","intermediate metabolism and respiration","724 aa overlap","malQ",,," 724 aa",," 724 aa ","probable 4-alpha-glucanotransferase malq amylomaltase disproportionating enzyme d-enzyme"
"Rv1785c","Mb1813c","intermediate metabolism and respiration","393 aa overlap","cyp143",,," 393 aa",," 393 aa ","probable cytochrome p450 143 cyp143"
"Rv1786","Mb1814","intermediate metabolism and respiration","67 aa overlap",,,," 67 aa",," 67 aa ","probable ferredoxin"
"Rv1788","Mb1816","PE/PPE","99 aa overlap","PE18",,," 99 aa",," 99 aa ","pe family protein pe18"
"Rv1791","Mb1819","PE/PPE","99 aa overlap","PE19",,," 99 aa",," 99 aa ","pe family protein pe19"
"Rv1793","Mb1821","cell wall and cell processes","94 aa overlap","esxN",,," 94 aa",," 94 aa ","putative esat-6 like protein esxn esat-6 like protein 5"
"Rv1794","Mb1822","conserved hypothetical protein","300 aa overlap",,,," 300 aa",," 300 aa ","conserved protein"
"Rv1796","Mb1824","intermediate metabolism and respiration","585 aa overlap","mycp5",,," 585 aa",," 585 aa ","probable proline rich membrane-anchored mycosin mycp5 serine protease subtilisin-like protease subtilase-like mycosin-5"
"Rv1797","Mb1825","cell wall and cell processes","406 aa overlap","ecce5",,," 406 aa",," 406 aa ","esx conserved component ecce5. esx-5 type vii secretion system protein. probable membrane protein."
"Rv1798","Mb1826","cell wall and cell processes","610 aa overlap","ecca5",,," 610 aa",," 610 aa ","esx conserved component ecca5. esx-5 type vii secretion system protein."
"Rv1799","Mb1827","cell wall and cell processes","63 aa overlap","lppT",,," 63 aa",," 63 aa ","probable lipoprotein lppt"
"Rv1801","Mb1829","PE/PPE","423 aa overlap","PPE29",,," 423 aa",," 423 aa ","ppe family protein ppe29"
"Rv1802","Mb1830","PE/PPE","463 aa overlap","PPE30",,," 463 aa",," 463 aa ","ppe family protein ppe30"
"Rv1804c","Mb1833c","conserved hypothetical protein","108 aa overlap",,,," 108 aa",," 108 aa ","conserved protein"
"Rv1805c","Mb1834c","conserved hypothetical protein","115 aa overlap",,,," 115 aa",," 115 aa ","hypothetical protein"
"Rv1806","Mb1835","PE/PPE","99 aa overlap","PE20",,," 99 aa",," 99 aa ","pe family protein pe20"
"Rv1808","Mb1837","PE/PPE","409 aa overlap","PPE32",,," 409 aa",," 409 aa ","ppe family protein ppe32"
"Rv1810","Mb1840","conserved hypothetical protein","118 aa overlap",,,," 118 aa",," 118 aa ","conserved protein"
